Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
77650,08/04/2015,7.31,15.7,6.27,101,70,2.15,0,0.007
37950,11/04/2015,7.33,16.1,6.17,94,60,2.2,0,0.005
38250,11/04/2015,7.29,16.9,6.39,100,58,2.13,0,0.006
31050,07/07/2015,7.81,16.7,6.27,100,61,1.71,0,0.005
50750,11/04/2015,7.59,17,6.86,95,63,2.17,0,0.003
53550,12/01/2015,7.45,16.5,6.53,94,57,2,0,0.006
26850,10/07/2015,7.29,16.3,6.09,93,63,2.13,0,0.006
58650,08/04/2015,7.44,16.6,6.35,104,73,2.15,0,0.006
21550,07/07/2015,7.42,15.4,6.17,97,64,1.94,0,0.008
77750,09/02/2015,7.36,17.5,6.67,97,77,2.07,0,0.007
51450,07/07/2015,7.37,15.2,6.19,94,61,2.34,0,0.007
51450,10/07/2015,7.33,16,5.87,93,62,2.14,0,0.044
58650,11/04/2015,7.44,16.2,6.51,93,63,2.06,0,0.005
31950,10/07/2015,7.25,15.9,6.01,95,62,2.01,0,0.009
46250,09/02/2015,7.33,17.3,6.73,96,71,2.11,0,0.006
33550,10/07/2015,7.41,17.2,6.21,98,60,2.16,0,0.006
47650,12/01/2015,7.72,17.7,7.09,99,57,2.03,0,0.004
52050,08/04/2015,7.49,15.8,6.51,106,75,2.3,0,0.007
21550,10/07/2015,7.25,15.6,6.06,92,63,2.19,0,0.011
18650,11/04/2015,7.34,46.5,15,314,60,2.15,0,0.006
44350,08/04/2015,7.4,14.7,5.75,100,66,2.34,0,0.006
11750,09/02/2015,7.38,61,22.3,432,61,2.31,0,0.005
31450,12/01/2015,7.43,16.7,6.31,94,52,2.03,0,0.004
33450,08/04/2015,7.46,55.1,23.7,427,55,1.95,0,0.016
37950,08/04/2015,7.75,16.4,6,102,66,2.06,0,0.004
44450,07/07/2015,7.32,15.5,6.3,97,68,2.08,0,0.006
31750,11/04/2015,7.38,46.5,16.9,306,60,2.14,0,0.009
23450,11/04/2015,7.3,15.5,6.17,91,58,2.11,0,0.006
20150,12/01/2015,7.45,16,6.3,94,53,2.07,0,0.007
77750,12/01/2015,7.53,16.2,6.46,92,56,2.02,0,0.007
39950,12/01/2015,7.24,16.4,6.25,94,58,2.1,0,0.006
50850,11/04/2015,7.45,16.3,6.45,92,62,2.13,0,0.004
76150,10/07/2015,7.27,15.5,6.06,96,65,2.18,0,0.007
31850,08/04/2015,7.86,16.5,6.1,105,72,2.01,0,0.004
31050,10/07/2015,7.41,17.7,6.32,101,62,2.09,0,0.012
59050,12/01/2015,7.38,15.6,6.15,93,52,2.28,0,0.006
33450,11/04/2015,7.35,73.2,26.9,499,56,2.21,0,0.008
47550,07/07/2015,7.22,15.6,6.34,98,66,2.11,0,0.015
37450,10/07/2015,7.47,17,6.08,96,60,2.26,0,0.006
22250,10/07/2015,7.24,16,6.04,92,63,2.07,0,0.009
20650,09/02/2015,7.36,16.9,6.48,97,72,2.01,0,0.008
31550,12/01/2015,7.35,66.8,26.8,446,56,2.18,0,0.012
31450,09/02/2015,7.46,17.1,6.45,97,68,2.04,0,0.006
44350,11/04/2015,7.29,16,6.26,90,60,2,0,0.006
50250,08/04/2015,7.35,14.6,5.9,102,65,2.31,0,0.006
30550,12/01/2015,7.51,17,6.41,95,55,2.04,0,0.007
31650,07/07/2015,7.63,16.9,6.19,102,63,1.94,0,0.004
37450,07/07/2015,7.63,16.8,6.16,100,63,1.91,0,0.004
32350,08/04/2015,7.59,23,13.9,197,65,2.02,0,0.004
22250,07/07/2015,7.32,15.8,6.22,100,63,2.12,0,0.007
40350,12/01/2015,7.35,16.9,6.49,96,54,1.98,0,0.006
16150,09/02/2015,7.37,16.7,6.23,94,68,2.19,0,0.005
39950,09/02/2015,7.24,16.7,6.4,97,68,2.11,0,0.008
33850,09/02/2015,7.24,16.7,6.41,97,68,2.09,0,0.008
50250,11/04/2015,7.45,15.4,6.17,91,60,2.12,0,0.035
33850,12/01/2015,7.5,16.6,6.3,95,57,2.1,0,0.006
59050,09/02/2015,7.31,16.5,6.17,93,65,2.07,0,0.008
11750,12/01/2015,7.39,63.6,24.5,427,54,2.19,0,0.004
38250,08/04/2015,7.65,16.6,5.94,103,66,2.04,0,0.01
31850,11/04/2015,7.42,17,6.38,98,64,2.34,0,0.005
30150,10/07/2015,7.43,64.2,23.3,440,55,2.11,0,0.005
33950,08/04/2015,7.44,52,22.4,401,55,2.15,0,0.011
24350,08/04/2015,7.49,15.2,6.03,100,66,1.97,0,0.006
33950,11/04/2015,7.26,72.1,26.6,492,57,2.26,0,0.006
47650,09/02/2015,7.49,18.4,7.01,101,74,2.2,0,0.004
10750,10/07/2015,7.38,14.9,6.04,89,63,1.98,0,0.005
16150,12/01/2015,7.47,15.6,6.15,90,55,1.69,0,0.004
77650,11/04/2015,7.39,16,6.33,91,62,2.12,0,0.008
27350,12/01/2015,7.13,15.9,6.18,92,53,2.1,0,0.004
31650,10/07/2015,7.49,17.8,6.35,97,60,2.11,0,0.006
18650,08/04/2015,7.35,40.9,16.6,313,64,2.1,0,0.006
30550,09/02/2015,7.38,17.4,6.51,97,69,1.94,0,0.01
50850,08/04/2015,7.5,15.4,6.44,107,72,2.19,0,0.005
20150,09/02/2015,7.37,16.5,6.43,97,69,2.08,0,0.007
79550,09/02/2015,7.21,16.7,6.2,94,73,2.1,0,0.006
44450,10/07/2015,7.24,15.7,6.25,92,66,2.16,0,0.006
45250,08/04/2015,7.32,15.6,6.32,103,71,2.14,0,0.008
33050,09/02/2015,7.26,16.8,6.44,97,67,2.13,0,0.008
