CMWD11CD,CMWD11NM,CMWD11NMW,FID
E36000590,Weston-super-Mare South Worle,,763
E36000591,Weston-super-Mare West,,764
E36000592,Winford,,765
E36000593,Wraxall and Long Ashton,,766
E36000594,Wrington,,767
E36000595,Yatton,,768
E36000596,Almondsbury,,769
E36000597,Bitton,,770
E36000598,Boyd Valley,,771
E36000599,Bradley Stoke Central and Stoke Lodge,,772
E36000600,Bradley Stoke North,,773
E36000443,Park,,774
E36000444,Priorslee,,775
E36000445,Shawbirch,,776
E36000446,St Georges,,777
E36000447,The Nedge,,778
E36000448,Woodside,,779
E36000449,Wrockwardine,,780
E36000450,Wrockwardine Wood and Trench,,781
E36000532,Cabot,,782
E36000533,Clifton,,783
E36000534,Clifton East,,784
E36000535,Cotham,,785
E36000536,Easton,,786
E36000537,Eastville,,787
E36000538,Filwood,,788
E36000539,Frome Vale,,789
E36000540,Hartcliffe,,790
E36000541,Henbury,,791
E36000542,Hengrove,,792
E36000543,Henleaze,,793
E36000544,Hillfields,,794
E36000545,Horfield,,795
E36000546,Kingsweston,,796
E36000547,Knowle,,797
E36000548,Lawrence Hill,,798
E36000549,Lockleaze,,799
E36000550,Redland,,800
E36001051,Ryde South,,801
E36001052,Ryde West,,802
E36001053,Sandown North,,803
E36001054,Sandown South,,804
E36001055,Shanklin Central,,805
E36001056,Shanklin South,,806
E36001057,Totland,,807
E36001058,Ventnor East,,808
E36001059,Ventnor West,,809
E36001060,West Wight,,810
E36001061,Whippingham and Osborne,,811
E36001062,Wootton Bridge,,812
E36001063,Annfield Plain,,813
E36001064,Aycliffe East,,814
E36001065,Aycliffe North,,815
E36001066,Aycliffe West,,816
E36001067,Barnard Castle East,,817
E36001068,Barnard Castle West,,818
E36001069,Belmont,,819
E36001070,Benfieldside,,820
E36001071,Bishop Auckland Town,,821
E36001072,Blackhalls,,822
E36001073,Brandon,,823
E36001074,Burnopfield and Dipton,,824
E36001075,Chester-le-Street North and East,,825
E36001076,Chester-le-Street South,,826
E36001077,Chester-le-Street West Central,,827
E36001078,Chilton,,828
E36001079,Consett North,,829
E36001080,Coundon,,830
E36001081,Coxhoe,,831
E36001082,Craghead and South Moor,,832
E36001083,Crook North and Tow Law,,833
E36001084,Crook South,,834
E36001085,Dawdon,,835
E36001086,Deerness Valley,,836
E36001087,Delves Lane and Consett South,,837
E36001088,Deneside,,838
E36001089,Durham South,,839
E36001090,Easington,,840
E36001091,Elvet,,841
E36001092,Esh,,842
E36001093,Evenwood,,843
E36001094,Ferryhill,,844
E36001095,Framwellgate Moor,,845
E36001096,Gilesgate,,846
E36001097,Horden,,847
E36001098,Lanchester,,848
E36001099,Leadgate and Medomsley,,849
E36001100,Lumley,,850
E36000901,Wexham Lea,,851
E36000902,Ascot and Cheapside,,852
E36000903,Belmont,,853
E36000904,Bisham and Cookham,,854
E36000905,Boyn Hill,,855
E36000906,Bray,,856
E36000907,Castle Without,,857
E36000908,Clewer East,,858
E36000909,Clewer North,,859
E36000910,Clewer South,,860
E36000911,Cox Green,,861
E36000912,Datchet,,862
E36000913,Eton and Castle,,863
E36000914,Eton Wick,,864
E36000915,Furze Platt,,865
E36000916,Horton and Wraysbury,,866
E36000917,Hurley and Walthams,,867
E36000918,Maidenhead Riverside,,868
E36000919,Old Windsor,,869
E36000920,Oldfield,,870
E36000921,Park,,871
E36000922,Pinkneys Green,,872
E36000923,Sunningdale,,873
E36000924,Sunninghill and South Ascot,,874
E36000925,Arborfield,,875
E36000926,Barkham,,876
E36000927,Bulmershe and Whitegates,,877
E36000928,Charvil,,878
E36000929,Coronation,,879
E36000930,Emmbrook,,880
E36000931,Evendons,,881
E36000932,Finchampstead North,,882
E36000933,Finchampstead South,,883
E36000934,Hawkedon,,884
E36000935,Hillside,,885
E36000936,Hurst,,886
E36000937,Loddon,,887
E36000938,Maiden Erlegh,,888
E36000939,Norreys,,889
E36000940,"Remenham, Wargrave and Ruscombe",,890
E36000941,Shinfield North,,891
E36000942,Shinfield South,,892
E36000943,Sonning,,893
E36000944,South Lake,,894
E36000945,Swallowfield,,895
E36000946,Twyford,,896
E36000947,Wescott,,897
E36000948,Winnersh,,898
E36000949,Wokingham Without,,899
E36000950,Bletchley and Fenny Stratford,,900
E36001001,Fratton,,901
E36001101,Murton,,902
E36001102,Neville's Cross,,903
E36001103,Newton Hall,,904
E36001104,Ouston and Urpeth,,905
E36001105,Pelton,,906
E36001106,Peterlee East,,907
E36001107,Peterlee West,,908
E36001108,Sacriston,,909
E36001109,Seaham,,910
E36001110,Sedgefield,,911
